oke-public-cloud-provider-oci                     , v1.29-0f63a5020b8-110
oke-public-cloud-provider-oci                     , v1.31-d02f08265e8-67
oke-public-cloud-provider-oci                     , v1.32-bf20a443646-33
oke-public-cloud-provider-oci                     , v1.30-9696a00641f-5952
oke-public-cloud-provider-oci                     , v1.31-4e30e28b828-80-csi
oke-public-cloud-provider-oci                     , v1.32-2c5fcd2e853-46-csi
oke-public-cloud-provider-oci                     , v1.33-87690329d0a-20-csi
oke-public-cloud-provider-oci                     , v1.29-393f7c992a6-112
oke-public-cloud-provider-oci                     , v1.30-c435522d651-125
oke-public-cloud-provider-oci                     , v1.34-8f0fbf7e71e-9
oke-public-cloud-provider-oci                     , v1.34-8f0fbf7e71e-9-csi
oke-public-cloud-provider-oci                     , v1.31-cb3b26234f1-102
oke-public-cloud-provider-oci                     , v1.32-796d1c8d4a1-71
oke-public-cloud-provider-oci                     , v1.33-03761e1e1b3-41
oke-public-cloud-provider-oci                     , v1.34-56769a515a4-14
